step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
0,0,1,0.37673387,,,,0.0,"[[133, "" […]\n\n"", 0.008124971762299538], [360, "","", 0.007364038378000259], [393, ""."", 0.006794879212975502]]"
1,0,1,0.37780565,,,,0.0,"[[360, "","", 0.0092940554022789], [393, ""."", 0.007622223347425461], [378, "" and"", 0.006369536742568016]]"
2,0,1,0.31782407,,0.12416231632232666,0.20295104384422302,1.0,"[[360, "","", 0.009758979082107544], [378, "" and"", 0.007330648601055145], [393, ""."", 0.006625497713685036]]"
3,0,1,0.3362024,,0.03252768889069557,0.09997089952230453,1.0,"[[360, "","", 0.009203851222991943], [393, ""."", 0.007407868281006813], [378, "" and"", 0.0064963120967149734]]"
4,0,1,0.3420736,,0.0,0.03334582969546318,1.0,"[[360, "","", 0.009070541709661484], [393, ""."", 0.00833425298333168], [378, "" and"", 0.00700819306075573]]"
5,0,1,0.35081017,,0.00018871165229938924,0.02171899750828743,1.0,"[[360, "","", 0.008634829893708229], [393, ""."", 0.008283397182822227], [378, "" and"", 0.0060162656009197235]]"
6,0,1,0.36156178,,0.03342051059007645,0.08104649931192398,1.0,"[[360, "","", 0.009790541604161263], [393, ""."", 0.008548032492399216], [382, ""."", 0.00701797753572464]]"
7,0,1,0.3103996,,0.0010709366761147976,0.038238126784563065,1.0,"[[360, "","", 0.007679404690861702], [393, ""."", 0.007478136569261551], [378, "" and"", 0.005819246172904968]]"
8,0,1,0.3034525,,0.014524809084832668,0.07745316624641418,1.0,"[[360, "","", 0.007503565400838852], [393, ""."", 0.005373483523726463], [378, "" and"", 0.004797656089067459]]"
9,0,1,0.30498055,,0.051602963358163834,0.12366555631160736,1.0,"[[360, "","", 0.008229967206716537], [393, ""."", 0.0056894440203905106], [378, "" and"", 0.0053945910185575485]]"
10,0,1,0.3092025,,0.00030532677192240953,0.026649557054042816,1.0,"[[360, "","", 0.008558401837944984], [393, ""."", 0.005637649446725845], [375, ""."", 0.005226543173193932]]"
11,0,1,0.3217479,,0.0015606476226821542,0.030811548233032227,1.0,"[[360, "","", 0.008303916081786156], [375, ""."", 0.005945347249507904], [393, ""."", 0.0058952923864126205]]"
12,0,1,0.29114532,,0.018371207639575005,0.07838162034749985,1.0,"[[360, "","", 0.008754432201385498], [378, "" and"", 0.005869941785931587], [375, ""."", 0.005786363035440445]]"
13,0,1,0.31544846,,0.0,0.02544631063938141,1.0,"[[360, "","", 0.008564524352550507], [378, "" and"", 0.006515301764011383], [375, ""."", 0.005876800045371056]]"
14,0,1,0.2682767,,0.0,0.0,1.0,"[[360, "","", 0.009167160838842392], [378, "" and"", 0.007107434794306755], [391, "" of"", 0.005649564787745476]]"
15,0,1,0.3525212,,0.0,0.0005841703969053924,1.0,"[[360, "","", 0.009593505412340164], [378, "" and"", 0.006834343075752258], [393, ""."", 0.006192855536937714]]"
16,0,1,0.31358123,,0.01283454243093729,0.052434712648391724,1.0,"[[133, "" […]\n\n"", 0.0069426558911800385], [360, "","", 0.005829203873872757], [378, "" and"", 0.004888096824288368]]"
