condition,window,margin_14_minus_12,argmax_id,max_tie_count,entropy_nats
s0h0,grill,7.125,975,1,0.012202034704387188
s0h0,onion,-10.375,717,1,0.02555016428232193
s0h1,grill,7.125,975,1,0.012202034704387188
s0h1,onion,-9.0,717,1,0.020487718284130096
s1h0,grill,-6.0,717,1,0.029590511694550514
s1h0,onion,7.875,975,1,0.013566925190389156
s1h1,grill,-6.0,717,1,0.029590511694550514
s1h1,onion,8.25,975,1,0.027907278388738632
