condition,variant,step,layer,before_attention,after_attention,after_mlp
object0_world0,full,0,0,-1.9854499101638794,0.275046706199646,0.2430737018585205
object0_world0,full,0,1,0.2430737018585205,1.2020220756530762,0.6842209696769714
object0_world0,full,0,2,0.6842209696769714,1.3412045240402222,1.2676186561584473
object0_world0,full,0,3,1.2676186561584473,0.9433355331420898,2.4288196563720703
object0_world0,full,0,4,2.4288196563720703,3.1855390071868896,3.575568437576294
object0_world0,full,0,5,3.575568437576294,3.0208821296691895,-0.17339329421520233
object0_world0,full,0,6,-0.17339329421520233,0.1546992063522339,1.7761534452438354
object0_world0,full,0,7,1.7761534452438354,2.2653584480285645,2.9977469444274902
object0_world0,full,0,8,2.9977469444274902,2.740589141845703,2.3893394470214844
object0_world0,full,0,9,2.3893394470214844,3.5040624141693115,1.9433033466339111
object0_world0,full,0,10,1.9433033466339111,2.50732684135437,-1.3770380020141602
object0_world0,full,0,11,-1.3770380020141602,-0.8647347092628479,-1.1614494323730469
object0_world0,full,0,12,-1.1614494323730469,-1.3319910764694214,-0.31274300813674927
object0_world0,full,0,13,-0.31274300813674927,2.023375988006592,0.00357210636138916
object0_world0,full,0,14,0.00357210636138916,-0.2453594207763672,0.6562278270721436
object0_world0,full,0,15,0.6562278270721436,1.6093933582305908,1.4649590253829956
object0_world0,full,0,16,1.4649590253829956,0.4578664302825928,0.702540934085846
object0_world0,full,0,17,0.702540934085846,0.1903887391090393,0.10668277740478516
object0_world0,full,0,18,0.10668277740478516,-0.4413875341415405,0.0972905158996582
object0_world0,full,0,19,0.0972905158996582,0.15110909938812256,0.16595500707626343
object0_world0,full,0,20,0.16595500707626343,-0.07160812616348267,0.7745518088340759
object0_world0,full,0,21,0.7745518088340759,0.39175498485565186,0.5642184615135193
object0_world0,full,0,22,0.5642184615135193,0.46673524379730225,0.4906381368637085
object0_world0,full,0,23,0.4906381368637085,0.39162325859069824,0.6822357773780823
object0_world0,full,0,24,0.6822357773780823,0.4474618434906006,0.9205862283706665
object0_world0,full,0,25,0.9205862283706665,1.0135364532470703,1.5098475217819214
object0_world0,full,0,26,1.5098475217819214,1.3847084045410156,1.5343629121780396
object0_world0,full,0,27,1.5343629121780396,1.3928028345108032,1.5780222415924072
