step,layer,source_mass,valid_heads,dispersion,disagreement,shift,shift_baseline
0,0,0.4509611092507839,32,6.91792794602935,0.9951903312565502,,
0,1,0.06767699308693409,32,7.456760866589978,0.7737185383110514,,
0,2,0.0476117804646492,32,7.313278424388873,0.7093240089928035,,
0,3,0.03877776302397251,32,7.118093886776272,0.7680884853721803,,
0,4,0.07947330549359322,32,6.735678732397226,0.7847258931951382,,
0,5,0.048808300867676735,32,6.3769577120357805,0.8377547874086666,,
0,6,0.08173718117177486,32,6.517081489641251,0.7634246193248497,,
0,7,0.10306551493704319,32,6.049080477353435,0.6145277279018897,,
0,8,0.08736235834658146,32,5.579289234997837,0.6411024164904804,,
0,9,0.06311138905584812,32,5.757423903498313,0.8023971849766358,,
0,10,0.07174957171082497,32,5.425411870606954,0.8138064362351205,,
0,11,0.10526253841817379,32,5.693811508410249,0.5939566288833209,,
0,12,0.161439199000597,32,5.336174817446986,0.4400849048142703,,
0,13,0.23564284294843674,32,5.641101077646543,0.52392614879279,,
0,14,0.2031299527734518,32,5.767084499867651,0.7486145083985418,,
0,15,0.1087340172380209,32,5.813101229475324,0.9853399151556612,,
0,16,0.0706031508743763,32,5.855097731303876,0.8852839366135203,,
0,17,0.11000051349401474,32,6.241801782542657,0.8987114785628805,,
0,18,0.09546112641692162,32,6.825994320444795,0.6849446480674883,,
0,19,0.10981571488082409,32,7.198622214901608,0.6994994915742803,,
0,20,0.10840792767703533,32,7.072110261794075,0.7699601068111663,,
0,21,0.08706639893352985,32,6.654908709491529,0.9451886926450914,,
0,22,0.1629797164350748,32,6.695148751684855,0.9740090462876863,,
0,23,0.1266200914978981,32,7.105445637811403,0.8525765384112951,,
0,24,0.10192359238862991,32,6.880808216523632,0.9713070999616109,,
0,25,0.08364132232964039,32,6.454886574373091,1.3345070951995952,,
0,26,0.13543209619820118,32,6.4420779048404295,1.0297444481408444,,
0,27,0.12262237071990967,32,6.732622979230643,1.0731516551612987,,
0,28,0.13032767735421658,32,6.615408290995486,1.1432682174322606,,
0,29,0.10131792724132538,32,7.113176631401957,0.8973958395776149,,
0,30,0.19452140480279922,32,6.77246691055791,0.9952176601056912,,
0,31,0.0879609938710928,32,6.942588721978881,1.0623853252000792,,
1,0,0.42725127376616,32,7.040100081824486,0.8995539355727935,0.35202222654504906,
1,1,0.08075466752052307,32,7.367584987301037,0.8393477003204497,0.3541562827416498,
1,2,0.04112984426319599,32,7.141298659674724,0.9016554984442644,0.4277413670599036,
1,3,0.035508012399077415,32,7.373857465541951,0.6254138267705329,0.3352612342774714,
1,4,0.05541708134114742,32,6.964859961934611,0.7776694949204268,0.3329916574734799,
1,5,0.062208784744143486,32,6.840661314929021,0.7930845049715396,0.36027568080792766,
1,6,0.05841098539531231,32,7.0641591794535294,0.6330426516783128,0.32213228658883886,
1,7,0.07996302843093872,32,6.7487782848753195,0.599116158102551,0.3343605227130495,
1,8,0.08355950564146042,32,6.5749556779539455,0.6300562981528026,0.3628270585895138,
