step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
0,0,1,0.45000702,,,,0.0,"[[543, "".\n\n"", 0.02743564359843731], [534, "" and"", 0.0063129812479019165], [537, ""."", 0.005921311676502228]]"
1,0,1,0.420655,,,,0.0,"[[543, "".\n\n"", 0.0084792859852314], [534, "" and"", 0.006793998181819916], [537, ""."", 0.0063497144728899]]"
2,0,1,0.3793145,,0.20477929711341858,0.2798271179199219,1.0,"[[543, "".\n\n"", 0.008858148008584976], [534, "" and"", 0.008221151307225227], [537, ""."", 0.006207616999745369]]"
3,0,1,0.40464336,,0.0,0.06007235497236252,1.0,"[[543, "".\n\n"", 0.010893795639276505], [534, "" and"", 0.007251296192407608], [537, ""."", 0.007168717682361603]]"
4,0,1,0.410617,,0.00988139770925045,0.07989915460348129,1.0,"[[543, "".\n\n"", 0.010765258222818375], [537, ""."", 0.008018288761377335], [534, "" and"", 0.007905211299657822]]"
5,0,1,0.3790206,,0.12299239635467529,0.19564683735370636,1.0,"[[534, "" and"", 0.0069183483719825745], [543, "".\n\n"", 0.006522778421640396], [537, ""."", 0.0063680000603199005]]"
6,0,1,0.4132396,,0.05079050362110138,0.11639396101236343,1.0,"[[543, "".\n\n"", 0.008625827729701996], [537, ""."", 0.007220407947897911], [534, "" and"", 0.0064919255673885345]]"
7,0,1,0.42230514,,0.010386946611106396,0.044712331146001816,1.0,"[[543, "".\n\n"", 0.009501898661255836], [537, ""."", 0.006565237417817116], [534, "" and"", 0.00515863299369812]]"
8,0,1,0.44621462,,0.0,0.019854726269841194,1.0,"[[543, "".\n\n"", 0.017292212694883347], [537, ""."", 0.005996113643050194], [522, ""."", 0.005381999537348747]]"
0,1,1,0.0704502,,,,0.0,"[[543, "".\n\n"", 0.004212683066725731], [368, "".\n\n"", 0.0020305048674345016], [215, "".\n\n"", 0.001914486289024353]]"
1,1,1,0.06928749,,,,0.0,"[[543, "".\n\n"", 0.002122728154063225], [368, "".\n\n"", 0.0009634774178266525], [215, "".\n\n"", 0.0009540803730487823]]"
