step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
0,0,1,0.4509611,,,,0.0,"[[499, "".\n\n"", 0.028386227786540985], [401, "","", 0.007873065769672394], [496, "" and"", 0.0071326978504657745]]"
1,0,1,0.4272513,,,,0.0,"[[499, "".\n\n"", 0.011087881401181221], [496, "" and"", 0.008470568805932999], [489, "" a"", 0.005473358556628227]]"
2,0,1,0.4410133,,0.0,0.0,1.0,"[[499, "".\n\n"", 0.01180271990597248], [496, "" and"", 0.007056567817926407], [401, "","", 0.005884513258934021]]"
3,0,1,0.46594042,,0.0,0.010776491835713387,1.0,"[[499, "".\n\n"", 0.013430716469883919], [496, "" and"", 0.007607685402035713], [492, "" of"", 0.006620835512876511]]"
4,0,1,0.41515666,,0.06107085943222046,0.11326883733272552,1.0,"[[499, "".\n\n"", 0.009508848190307617], [496, "" and"", 0.0073304492980241776], [492, "" of"", 0.006874879822134972]]"
5,0,1,0.45994216,,0.0,0.023744676262140274,1.0,"[[499, "".\n\n"", 0.010585952550172806], [211, "","", 0.00754939578473568], [268, "","", 0.007172226905822754]]"
6,0,1,0.41486025,,0.0,0.00960046797990799,1.0,"[[499, "".\n\n"", 0.009592868387699127], [496, "" and"", 0.007897675037384033], [483, ""."", 0.005676912143826485]]"
7,0,1,0.41365084,,0.018523382022976875,0.06987699866294861,1.0,"[[499, "".\n\n"", 0.009419240057468414], [496, "" and"", 0.00831204280257225], [401, "","", 0.005443023517727852]]"
8,0,1,0.4322558,,0.007222645916044712,0.049821075052022934,1.0,"[[499, "".\n\n"", 0.009953455999493599], [496, "" and"", 0.008485130965709686], [401, "","", 0.00551309809088707]]"
9,0,1,0.39864787,,0.02450728416442871,0.07205983996391296,1.0,"[[499, "".\n\n"", 0.023495778441429138], [496, "" and"", 0.006279878318309784], [294, "","", 0.005606530234217644]]"
10,0,1,0.36557323,,0.06142829358577728,0.1201825886964798,1.0,"[[499, "".\n\n"", 0.01094391942024231], [496, "" and"", 0.006244909018278122], [343, "","", 0.004808558151125908]]"
11,0,1,0.43105164,,0.13256078958511353,0.21937808394432068,1.0,"[[499, "".\n\n"", 0.015151608735322952], [294, "","", 0.008893918246030807], [343, "","", 0.008007016032934189]]"
12,0,1,0.41878894,,0.004568301606923342,0.012369085103273392,1.0,"[[499, "".\n\n"", 0.009371668100357056], [496, "" and"", 0.006028622388839722], [401, "","", 0.005697028711438179]]"
13,0,1,0.38487542,,0.03250499442219734,0.06741303205490112,1.0,"[[499, "".\n\n"", 0.007135912775993347], [401, "","", 0.005939440801739693], [343, "","", 0.005403703078627586]]"
14,0,1,0.4016741,,0.020555825904011726,0.06369545310735703,1.0,"[[170, "","", 0.009296819567680359], [401, "","", 0.006322914734482765], [343, "","", 0.006002016365528107]]"
15,0,1,0.41666773,,0.005727650132030249,0.013904855586588383,1.0,"[[499, "".\n\n"", 0.006650673225522041], [401, "","", 0.00593918189406395], [343, "","", 0.00525466725230217]]"
16,0,1,0.37438613,,0.000626348948571831,0.021930372342467308,1.0,"[[401, "","", 0.005598980933427811], [343, "","", 0.005416646599769592], [496, "" and"", 0.005397666245698929]]"
17,0,1,0.38610217,,0.0004631836782209575,0.02535315603017807,1.0,"[[401, "","", 0.006464162841439247], [343, "","", 0.006012734025716782], [496, "" and"", 0.005307311192154884]]"
18,0,1,0.38076288,,0.01532958634197712,0.05739568546414375,1.0,"[[496, "" and"", 0.007214725017547607], [401, "","", 0.0061655715107917786], [483, ""."", 0.005882345139980316]]"
19,0,1,0.35906956,,0.037911467254161835,0.10506287217140198,1.0,"[[496, "" and"", 0.006679419428110123], [401, "","", 0.005380624905228615], [499, "".\n\n"", 0.005157116800546646]]"
20,0,1,0.43792865,,0.0,0.005705565679818392,1.0,"[[401, "","", 0.006706517189741135], [499, "".\n\n"", 0.006517874076962471], [496, "" and"", 0.006043180823326111]]"
21,0,1,0.3505622,,0.03573228791356087,0.09571121633052826,1.0,"[[401, "","", 0.006150964647531509], [499, "".\n\n"", 0.006127806380391121], [496, "" and"", 0.0059059374034404755]]"
22,0,1,0.3626675,,2.335003409825731e-05,0.004797061905264854,1.0,"[[499, "".\n\n"", 0.0069526731967926025], [401, "","", 0.005834551528096199], [496, "" and"", 0.005688834935426712]]"
23,0,1,0.341249,,0.010794403031468391,0.04081151634454727,1.0,"[[499, "".\n\n"", 0.00616145133972168], [401, "","", 0.005649026483297348], [496, "" and"", 0.00555047020316124]]"
24,0,1,0.3493653,,0.020799048244953156,0.07725212723016739,1.0,"[[401, "","", 0.005869481712579727], [496, "" and"", 0.005775846540927887], [499, "".\n\n"", 0.005115600302815437]]"
25,0,1,0.3597553,,0.0004017945611849427,0.011247583664953709,1.0,"[[499, "".\n\n"", 0.006436005234718323], [401, "","", 0.0059268418699502945], [496, "" and"", 0.005492702126502991]]"
26,0,1,0.34833482,,0.02089986391365528,0.0730210393667221,1.0,"[[496, "" and"", 0.005984259769320488], [499, "".\n\n"", 0.0053536053746938705], [401, "","", 0.005146525800228119]]"
27,0,1,0.335638,,0.034204140305519104,0.09008024632930756,1.0,"[[401, "","", 0.005502782762050629], [499, "".\n\n"", 0.005327507853507996], [496, "" and"", 0.004716228693723679]]"
28,0,1,0.3817486,,0.013876423239707947,0.021427324041724205,1.0,"[[499, "".\n\n"", 0.006198333576321602], [401, "","", 0.006025988608598709], [343, "","", 0.004946552217006683]]"
29,0,1,0.35715532,,0.11113845556974411,0.16600799560546875,1.0,"[[499, "".\n\n"", 0.016844481229782104], [349, "".\n\n"", 0.008001072332262993], [219, "".\n\n"", 0.006797054782509804]]"
30,0,1,0.31396043,,0.011197790503501892,0.05979875847697258,1.0,"[[499, "".\n\n"", 0.0052787624299526215], [496, "" and"", 0.005014950409531593], [401, "","", 0.004901852458715439]]"
31,0,1,0.3780203,,0.12808305025100708,0.20212827622890472,1.0,"[[499, "".\n\n"", 0.01169624738395214], [401, "","", 0.006802864372730255], [496, "" and"", 0.005494058132171631]]"
32,0,1,0.41041932,,0.0013295556418597698,0.009207670576870441,1.0,"[[499, "".\n\n"", 0.006145764142274857], [496, "" and"", 0.005938053131103516], [401, "","", 0.005447709932923317]]"
33,0,1,0.34680754,,0.032888639718294144,0.08209322392940521,1.0,"[[401, "","", 0.006915852427482605], [499, "".\n\n"", 0.005763830617070198], [294, "","", 0.0054374393075704575]]"
34,0,1,0.36134,,0.010540279559791088,0.014247552491724491,1.0,"[[499, "".\n\n"", 0.006859960034489632], [483, ""."", 0.004719698801636696], [496, "" and"", 0.00469532236456871]]"
35,0,1,0.32598114,,0.017020907253026962,0.02946728840470314,1.0,"[[499, "".\n\n"", 0.006314605474472046], [268, "","", 0.0049275849014520645], [496, "" and"", 0.00457218661904335]]"
36,0,1,0.33735758,,0.0037236332427710295,0.022147567942738533,1.0,"[[499, "".\n\n"", 0.006077317520976067], [268, "","", 0.004953222349286079], [294, "","", 0.004690263420343399]]"
37,0,1,0.36593068,,0.08257779479026794,0.1615014672279358,1.0,"[[268, "","", 0.007359549403190613], [499, "".\n\n"", 0.005635054782032967], [401, "","", 0.0054471455514431]]"
38,0,1,0.34528407,,0.0007296788389794528,0.007706553675234318,1.0,"[[401, "","", 0.0048897527158260345], [499, "".\n\n"", 0.004739329218864441], [268, "","", 0.00457625649869442]]"
39,0,1,0.35909873,,0.17178229987621307,0.2681935727596283,1.0,"[[268, "","", 0.012914640828967094], [499, "".\n\n"", 0.0054096076637506485], [401, "","", 0.005231514573097229]]"
40,0,1,0.35762316,,0.008719724602997303,0.020600484684109688,1.0,"[[343, "","", 0.004854736849665642], [401, "","", 0.004833037033677101], [268, "","", 0.004536367952823639]]"
41,0,1,0.35187918,,0.24632740020751953,0.35011202096939087,1.0,"[[117, "","", 0.01440451294183731], [499, "".\n\n"", 0.005203418433666229], [343, "","", 0.004955369979143143]]"
42,0,1,0.2982056,,0.06025620922446251,0.15174902975559235,1.0,"[[401, "","", 0.004418889060616493], [343, "","", 0.004239324480295181], [268, "","", 0.0042065344750881195]]"
43,0,1,0.34079,,0.0034372471272945404,0.010774018242955208,1.0,"[[401, "","", 0.004545474424958229], [499, "".\n\n"", 0.004395326599478722], [343, "","", 0.004390893504023552]]"
44,0,1,0.29502183,,0.012461459264159203,0.07026883959770203,1.0,"[[496, "" and"", 0.0044143348932266235], [401, "","", 0.004050886258482933], [343, "","", 0.0038919299840927124]]"
45,0,1,0.290075,,0.03582878038287163,0.09630435705184937,1.0,"[[496, "" and"", 0.0043142326176166534], [401, "","", 0.0035364944487810135], [294, "","", 0.003476962447166443]]"
46,0,1,0.31881064,,0.0,0.010953840799629688,1.0,"[[343, "","", 0.0042970553040504456], [499, "".\n\n"", 0.004152584820985794], [401, "","", 0.004142899066209793]]"
47,0,1,0.34316486,,6.742317054886371e-05,0.007367110811173916,1.0,"[[343, "","", 0.0047750286757946014], [499, "".\n\n"", 0.004286615177989006], [294, "","", 0.004266556352376938]]"
48,0,1,0.34886578,,0.11493654549121857,0.18381176888942719,1.0,"[[499, "".\n\n"", 0.010501522570848465], [349, "".\n\n"", 0.0051054079085588455], [343, "","", 0.004118476063013077]]"
49,0,1,0.29234523,,0.0011049954919144511,0.00667977798730135,1.0,"[[499, "".\n\n"", 0.004613667726516724], [343, "","", 0.004481714218854904], [268, "","", 0.00427083857357502]]"
50,0,1,0.30791023,,0.04032323509454727,0.10134151577949524,1.0,"[[211, "","", 0.009828392416238785], [343, "","", 0.00438687764108181], [499, "".\n\n"", 0.004309864714741707]]"
51,0,1,0.33585805,,0.01247403584420681,0.02076978236436844,1.0,"[[343, "","", 0.004508648067712784], [499, "".\n\n"", 0.004481041803956032], [401, "","", 0.0044103506952524185]]"
52,0,1,0.3052204,,0.0008685317006893456,0.011034278199076653,1.0,"[[499, "".\n\n"", 0.004414962604641914], [343, "","", 0.004106678068637848], [401, "","", 0.00395449623465538]]"
53,0,1,0.31532016,,0.0011540210107341409,0.003592306049540639,1.0,"[[499, "".\n\n"", 0.004520511254668236], [343, "","", 0.004335356876254082], [401, "","", 0.0041236598044633865]]"
54,0,1,0.3179443,,0.0004919915227219462,0.00826684758067131,1.0,"[[401, "","", 0.004677150398492813], [343, "","", 0.004607962444424629], [499, "".\n\n"", 0.004088154062628746]]"
55,0,1,0.2959687,,0.07197219878435135,0.14385093748569489,1.0,"[[214, "","", 0.005113366991281509], [216, "","", 0.004532229155302048], [343, "","", 0.004260458052158356]]"
56,0,1,0.3123343,,0.002571588149294257,0.014505435712635517,1.0,"[[401, "","", 0.0045672692358493805], [343, "","", 0.004226837307214737], [294, "","", 0.003999166190624237]]"
57,0,1,0.27121606,,0.00900896918028593,0.05080758035182953,1.0,"[[401, "","", 0.00379190593957901], [216, "","", 0.003626994788646698], [343, "","", 0.003539731726050377]]"
58,0,1,0.2927229,,0.006397114135324955,0.05587558448314667,1.0,"[[343, "","", 0.008403599262237549], [499, "".\n\n"", 0.004934772849082947], [401, "","", 0.0034879669547080994]]"
59,0,1,0.26629165,,0.018762333318591118,0.04204852879047394,1.0,"[[401, "","", 0.0037996824830770493], [499, "".\n\n"", 0.0035257041454315186], [343, "","", 0.0035088323056697845]]"
60,0,1,0.27113923,,0.017877204343676567,0.07006975263357162,1.0,"[[401, "","", 0.00392516702413559], [294, "","", 0.003891773521900177], [268, "","", 0.003222202882170677]]"
61,0,1,0.28275228,,0.06669794768095016,0.1379217952489853,1.0,"[[294, "","", 0.004095926880836487], [499, "".\n\n"", 0.004073694348335266], [401, "","", 0.0037858858704566956]]"
62,0,1,0.2573686,,0.027217309921979904,0.05669918283820152,1.0,"[[294, "","", 0.004127852618694305], [401, "","", 0.004104318097233772], [343, "","", 0.0031468570232391357]]"
63,0,1,0.3027585,,0.0001127981668105349,0.0057119387201964855,1.0,"[[294, "","", 0.004453383386135101], [401, "","", 0.0043942853808403015], [496, "" and"", 0.0034390967339277267]]"
64,0,1,0.2981723,,0.12198423594236374,0.17487472295761108,1.0,"[[499, "".\n\n"", 0.01180293783545494], [349, "".\n\n"", 0.007121380418539047], [219, "".\n\n"", 0.005905529484152794]]"
65,0,1,0.2447563,,0.010733740404248238,0.05300920456647873,1.0,"[[401, "","", 0.003913126885890961], [294, "","", 0.0036407597362995148], [343, "","", 0.0035173483192920685]]"
66,0,1,0.31306314,,0.11391809582710266,0.1919834315776825,1.0,"[[499, "".\n\n"", 0.008287394419312477], [401, "","", 0.004480535164475441], [343, "","", 0.004242783412337303]]"
67,0,1,0.29491925,,0.0014566079480573535,0.00765044242143631,1.0,"[[401, "","", 0.004917718470096588], [343, "","", 0.0038384348154067993], [499, "".\n\n"", 0.003827746957540512]]"
68,0,1,0.2787224,,0.001811578287743032,0.010164089500904083,1.0,"[[401, "","", 0.005109511315822601], [343, "","", 0.0040239207446575165], [170, "","", 0.0040095094591379166]]"
69,0,1,0.2673915,,0.035041581839323044,0.08723349124193192,1.0,"[[401, "","", 0.004406273365020752], [496, "" and"", 0.0035530738532543182], [343, "","", 0.00332680344581604]]"
70,0,1,0.30602187,,0.0025106349494308233,0.00879468210041523,1.0,"[[401, "","", 0.0048177242279052734], [343, "","", 0.004013190045952797], [294, "","", 0.003913687542080879]]"
71,0,1,0.25622633,,0.026552489027380943,0.05892438441514969,1.0,"[[401, "","", 0.003901274874806404], [343, "","", 0.003570711240172386], [211, "","", 0.003269186243414879]]"
72,0,1,0.28319252,,0.004440782591700554,0.0072962637059390545,1.0,"[[401, "","", 0.004249686375260353], [343, "","", 0.003737291321158409], [294, "","", 0.0035118423402309418]]"
73,0,1,0.2496117,,0.00999502930790186,0.026172833517193794,1.0,"[[401, "","", 0.004026230424642563], [343, "","", 0.0036729909479618073], [294, "","", 0.0033384785056114197]]"
74,0,1,0.28581613,,0.016206812113523483,0.031683921813964844,1.0,"[[401, "","", 0.004835980013012886], [294, "","", 0.003998210653662682], [343, "","", 0.0038202982395887375]]"
