step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
0,0,1,0.4509611,,,,0.0,"[[499, "".\n\n"", 0.028386227786540985], [401, "","", 0.007873065769672394], [496, "" and"", 0.0071326978504657745]]"
1,0,1,0.4272513,,,,0.0,"[[499, "".\n\n"", 0.011087881401181221], [496, "" and"", 0.008470568805932999], [489, "" a"", 0.005473358556628227]]"
2,0,1,0.4410133,,0.0,0.0,1.0,"[[499, "".\n\n"", 0.01180271990597248], [496, "" and"", 0.007056567817926407], [401, "","", 0.005884513258934021]]"
3,0,1,0.46594042,,0.0,0.010776491835713387,1.0,"[[499, "".\n\n"", 0.013430716469883919], [496, "" and"", 0.007607685402035713], [492, "" of"", 0.006620835512876511]]"
4,0,1,0.41515666,,0.06107085943222046,0.11326883733272552,1.0,"[[499, "".\n\n"", 0.009508848190307617], [496, "" and"", 0.0073304492980241776], [492, "" of"", 0.006874879822134972]]"
5,0,1,0.45994216,,0.0,0.023744676262140274,1.0,"[[499, "".\n\n"", 0.010585952550172806], [211, "","", 0.00754939578473568], [268, "","", 0.007172226905822754]]"
6,0,1,0.41486025,,0.0,0.00960046797990799,1.0,"[[499, "".\n\n"", 0.009592868387699127], [496, "" and"", 0.007897675037384033], [483, ""."", 0.005676912143826485]]"
7,0,1,0.41365084,,0.018523382022976875,0.06987699866294861,1.0,"[[499, "".\n\n"", 0.009419240057468414], [496, "" and"", 0.00831204280257225], [401, "","", 0.005443023517727852]]"
8,0,1,0.4322558,,0.007222645916044712,0.049821075052022934,1.0,"[[499, "".\n\n"", 0.009953455999493599], [496, "" and"", 0.008485130965709686], [401, "","", 0.00551309809088707]]"
9,0,1,0.39864787,,0.02450728416442871,0.07205983996391296,1.0,"[[499, "".\n\n"", 0.023495778441429138], [496, "" and"", 0.006279878318309784], [294, "","", 0.005606530234217644]]"
10,0,1,0.36557323,,0.06142829358577728,0.1201825886964798,1.0,"[[499, "".\n\n"", 0.01094391942024231], [496, "" and"", 0.006244909018278122], [343, "","", 0.004808558151125908]]"
11,0,1,0.43105164,,0.13256078958511353,0.21937808394432068,1.0,"[[499, "".\n\n"", 0.015151608735322952], [294, "","", 0.008893918246030807], [343, "","", 0.008007016032934189]]"
12,0,1,0.41878894,,0.004568301606923342,0.012369085103273392,1.0,"[[499, "".\n\n"", 0.009371668100357056], [496, "" and"", 0.006028622388839722], [401, "","", 0.005697028711438179]]"
13,0,1,0.38487542,,0.03250499442219734,0.06741303205490112,1.0,"[[499, "".\n\n"", 0.007135912775993347], [401, "","", 0.005939440801739693], [343, "","", 0.005403703078627586]]"
14,0,1,0.4016741,,0.020555825904011726,0.06369545310735703,1.0,"[[170, "","", 0.009296819567680359], [401, "","", 0.006322914734482765], [343, "","", 0.006002016365528107]]"
15,0,1,0.41666773,,0.005727650132030249,0.013904855586588383,1.0,"[[499, "".\n\n"", 0.006650673225522041], [401, "","", 0.00593918189406395], [343, "","", 0.00525466725230217]]"
16,0,1,0.37438613,,0.000626348948571831,0.021930372342467308,1.0,"[[401, "","", 0.005598980933427811], [343, "","", 0.005416646599769592], [496, "" and"", 0.005397666245698929]]"
17,0,1,0.38610217,,0.0004631836782209575,0.02535315603017807,1.0,"[[401, "","", 0.006464162841439247], [343, "","", 0.006012734025716782], [496, "" and"", 0.005307311192154884]]"
18,0,1,0.38076288,,0.01532958634197712,0.05739568546414375,1.0,"[[496, "" and"", 0.007214725017547607], [401, "","", 0.0061655715107917786], [483, ""."", 0.005882345139980316]]"
19,0,1,0.35906956,,0.037911467254161835,0.10506287217140198,1.0,"[[496, "" and"", 0.006679419428110123], [401, "","", 0.005380624905228615], [499, "".\n\n"", 0.005157116800546646]]"
20,0,1,0.43792865,,0.0,0.005705565679818392,1.0,"[[401, "","", 0.006706517189741135], [499, "".\n\n"", 0.006517874076962471], [496, "" and"", 0.006043180823326111]]"
21,0,1,0.3505622,,0.03573228791356087,0.09571121633052826,1.0,"[[401, "","", 0.006150964647531509], [499, "".\n\n"", 0.006127806380391121], [496, "" and"", 0.0059059374034404755]]"
22,0,1,0.3626675,,2.335003409825731e-05,0.004797061905264854,1.0,"[[499, "".\n\n"", 0.0069526731967926025], [401, "","", 0.005834551528096199], [496, "" and"", 0.005688834935426712]]"
23,0,1,0.341249,,0.010794403031468391,0.04081151634454727,1.0,"[[499, "".\n\n"", 0.00616145133972168], [401, "","", 0.005649026483297348], [496, "" and"", 0.00555047020316124]]"
24,0,1,0.3493653,,0.020799048244953156,0.07725212723016739,1.0,"[[401, "","", 0.005869481712579727], [496, "" and"", 0.005775846540927887], [499, "".\n\n"", 0.005115600302815437]]"
25,0,1,0.3597553,,0.0004017945611849427,0.011247583664953709,1.0,"[[499, "".\n\n"", 0.006436005234718323], [401, "","", 0.0059268418699502945], [496, "" and"", 0.005492702126502991]]"
26,0,1,0.36322823,,0.12180912494659424,0.1786774843931198,1.0,"[[499, "".\n\n"", 0.017328843474388123], [349, "".\n\n"", 0.008180059492588043], [219, "".\n\n"", 0.00673857145011425]]"
27,0,1,0.3184556,,0.012316133826971054,0.06303507834672928,1.0,"[[499, "".\n\n"", 0.005566071718931198], [401, "","", 0.004797106608748436], [492, "" of"", 0.004248946905136108]]"
28,0,1,0.38281602,,0.13580194115638733,0.2135070264339447,1.0,"[[499, "".\n\n"", 0.011407345533370972], [343, "","", 0.00567382387816906], [401, "","", 0.005672527477145195]]"
29,0,1,0.34154135,,0.0004010140837635845,0.006612197961658239,1.0,"[[401, "","", 0.0057564377784729], [499, "".\n\n"", 0.004974201321601868], [496, "" and"", 0.004774792119860649]]"
30,0,1,0.34935728,,0.038019899278879166,0.09422927349805832,1.0,"[[401, "","", 0.0062360018491744995], [496, "" and"", 0.005677353590726852], [499, "".\n\n"", 0.004770901054143906]]"
31,0,1,0.36781842,,0.010212653316557407,0.014649157412350178,1.0,"[[401, "","", 0.005693444982171059], [496, "" and"", 0.005293995141983032], [499, "".\n\n"", 0.005030887201428413]]"
32,0,1,0.33302653,,0.019427234306931496,0.03460743650794029,1.0,"[[499, "".\n\n"", 0.005935661494731903], [496, "" and"", 0.005647622048854828], [401, "","", 0.004460787400603294]]"
33,0,1,0.3445717,,0.0035961803514510393,0.023365724831819534,1.0,"[[499, "".\n\n"", 0.005972543731331825], [496, "" and"", 0.005156464874744415], [401, "","", 0.004622612148523331]]"
34,0,1,0.3308683,,0.02290157973766327,0.06845522671937943,1.0,"[[499, "".\n\n"", 0.006079884245991707], [496, "" and"", 0.005254218354821205], [401, "","", 0.004415389150381088]]"
35,0,1,0.31837803,,0.053199734538793564,0.10930658876895905,1.0,"[[499, "".\n\n"", 0.004944534972310066], [496, "" and"", 0.004886528477072716], [268, "","", 0.00411582738161087]]"
36,0,1,0.34895134,,0.0,0.015718718990683556,1.0,"[[499, "".\n\n"", 0.005468012765049934], [401, "","", 0.004808072000741959], [268, "","", 0.0047176312655210495]]"
37,0,1,0.3795113,,0.0001536125928396359,0.004778518807142973,1.0,"[[401, "","", 0.005173083394765854], [268, "","", 0.004823125898838043], [496, "" and"", 0.00475282222032547]]"
38,0,1,0.32574344,,0.04150204360485077,0.08601781725883484,1.0,"[[496, "" and"", 0.005259566009044647], [401, "","", 0.004593517631292343], [499, "".\n\n"", 0.004218488931655884]]"
39,0,1,0.32878715,,0.0710892304778099,0.14385105669498444,1.0,"[[401, "","", 0.0046769119799137115], [496, "" and"", 0.004475478082895279], [343, "","", 0.00422002375125885]]"
40,0,1,0.34501123,,0.0005939206457696855,0.006344255991280079,1.0,"[[343, "","", 0.004833396524190903], [401, "","", 0.004774603992700577], [499, "".\n\n"", 0.00452338345348835]]"
41,0,1,0.3612206,,0.05669250711798668,0.14456507563591003,1.0,"[[117, "","", 0.01455651968717575], [499, "".\n\n"", 0.005166105926036835], [343, "","", 0.0050843507051467896]]"
42,0,1,0.35163054,,0.006897200830280781,0.017494019120931625,1.0,"[[343, "","", 0.005191225558519363], [401, "","", 0.00490570068359375], [294, "","", 0.004406474530696869]]"
43,0,1,0.34472084,,0.15987232327461243,0.26131048798561096,1.0,"[[117, "","", 0.008239923045039177], [120, "","", 0.007964029908180237], [499, "".\n\n"", 0.0047102682292461395]]"
44,0,1,0.2958705,,0.03875415027141571,0.12977999448776245,1.0,"[[401, "","", 0.004400225356221199], [343, "","", 0.0041262246668338776], [214, "","", 0.004093548282980919]]"
45,0,1,0.33833355,,0.0031806074548512697,0.010231460444629192,1.0,"[[401, "","", 0.004298139363527298], [499, "".\n\n"", 0.004283120855689049], [343, "","", 0.004221834242343903]]"
46,0,1,0.31993753,,0.1853961944580078,0.25264081358909607,1.0,"[[499, "".\n\n"", 0.01381530612707138], [349, "".\n\n"", 0.008196108043193817], [219, "".\n\n"", 0.006685623899102211]]"
47,0,1,0.2625904,,0.013222879730165005,0.0559597872197628,1.0,"[[343, "","", 0.004208574071526527], [499, "".\n\n"", 0.004037480801343918], [268, "","", 0.0035701896995306015]]"
48,0,1,0.3369564,,0.13517729938030243,0.2198600172996521,1.0,"[[499, "".\n\n"", 0.009854989126324654], [349, "".\n\n"", 0.004800209775567055], [343, "","", 0.004127927124500275]]"
49,0,1,0.28784505,,0.00635971873998642,0.010696330107748508,1.0,"[[343, "","", 0.0044302307069301605], [499, "".\n\n"", 0.004257708787918091], [268, "","", 0.004240460693836212]]"
50,0,1,0.3046465,,0.05328396335244179,0.11514464765787125,1.0,"[[211, "","", 0.009881457313895226], [343, "","", 0.004371596500277519], [499, "".\n\n"", 0.004140505567193031]]"
51,0,1,0.3328643,,0.00562543049454689,0.013702510856091976,1.0,"[[343, "","", 0.004487408325076103], [401, "","", 0.004391267895698547], [499, "".\n\n"", 0.004312211647629738]]"
52,0,1,0.30155504,,0.0008601192967034876,0.011729517951607704,1.0,"[[499, "".\n\n"", 0.004189865663647652], [343, "","", 0.004062484949827194], [401, "","", 0.003918968141078949]]"
53,0,1,0.31200844,,0.00045666188816539943,0.002406141720712185,1.0,"[[499, "".\n\n"", 0.0043052081018686295], [343, "","", 0.004278205335140228], [401, "","", 0.004082642495632172]]"
54,0,1,0.315425,,0.00017046545690391213,0.006190173793584108,1.0,"[[401, "","", 0.004640737548470497], [343, "","", 0.004576859995722771], [294, "","", 0.004052437841892242]]"
55,0,1,0.29218,,0.07580211758613586,0.1475607454776764,1.0,"[[214, "","", 0.005160290747880936], [216, "","", 0.0045564863830804825], [343, "","", 0.0042503103613853455]]"
56,0,1,0.31114218,,0.0011523696593940258,0.01178386528044939,1.0,"[[401, "","", 0.004547100514173508], [343, "","", 0.004212593659758568], [294, "","", 0.003988884389400482]]"
57,0,1,0.26907778,,0.009064597077667713,0.050586190074682236,1.0,"[[401, "","", 0.0037701446563005447], [216, "","", 0.0036335978657007217], [343, "","", 0.0035314541310071945]]"
58,0,1,0.28871202,,0.008756540715694427,0.0587640181183815,1.0,"[[343, "","", 0.008385084569454193], [499, "".\n\n"", 0.004788976162672043], [216, "","", 0.0034772921353578568]]"
59,0,1,0.2638383,,0.0196425411850214,0.043376561254262924,1.0,"[[401, "","", 0.0037804897874593735], [343, "","", 0.003506667912006378], [294, "","", 0.0034238621592521667]]"
60,0,1,0.26942393,,0.017788508906960487,0.07103881239891052,1.0,"[[401, "","", 0.0039060525596141815], [294, "","", 0.003881789743900299], [268, "","", 0.003217557445168495]]"
61,0,1,0.27974674,,0.06516371667385101,0.13675862550735474,1.0,"[[294, "","", 0.004089571535587311], [499, "".\n\n"", 0.003960326313972473], [268, "","", 0.0037613455206155777]]"
62,0,1,0.25506842,,0.02678198367357254,0.05648033320903778,1.0,"[[294, "","", 0.004119010642170906], [401, "","", 0.004090031608939171], [343, "","", 0.0031475722789764404]]"
63,0,1,0.30008394,,0.00011575736425584182,0.005189616233110428,1.0,"[[294, "","", 0.004428444430232048], [401, "","", 0.004359820857644081], [496, "" and"", 0.0033850669860839844]]"
64,0,1,0.29446003,,0.21029958128929138,0.273237407207489,1.0,"[[499, "".\n\n"", 0.011446122080087662], [349, "".\n\n"", 0.007022477686405182], [219, "".\n\n"", 0.00585438497364521]]"
65,0,1,0.2521007,,0.019200125709176064,0.05488664656877518,1.0,"[[401, "","", 0.004111364483833313], [294, "","", 0.003944925963878632], [343, "","", 0.0036639049649238586]]"
66,0,1,0.31097707,,0.141007199883461,0.2225475162267685,1.0,"[[499, "".\n\n"", 0.007986849173903465], [401, "","", 0.004499586299061775], [343, "","", 0.004280637949705124]]"
67,0,1,0.2938124,,0.0016877587186172605,0.008747159503400326,1.0,"[[401, "","", 0.004888609051704407], [343, "","", 0.003826957195997238], [294, "","", 0.0037761125713586807]]"
68,0,1,0.27900335,,0.0018377973465248942,0.009718949906527996,1.0,"[[401, "","", 0.005116119980812073], [343, "","", 0.004036441445350647], [170, "","", 0.00401623360812664]]"
69,0,1,0.2668438,,0.03419945389032364,0.08618061244487762,1.0,"[[401, "","", 0.004411660134792328], [496, "" and"", 0.0035220496356487274], [343, "","", 0.0033303294330835342]]"
70,0,1,0.30507672,,0.002217691857367754,0.00793199148029089,1.0,"[[401, "","", 0.004807306453585625], [343, "","", 0.004011698067188263], [294, "","", 0.0039006248116493225]]"
71,0,1,0.2560572,,0.027909008786082268,0.061440613120794296,1.0,"[[401, "","", 0.003916837275028229], [343, "","", 0.0035803597420454025], [211, "","", 0.0032814089208841324]]"
72,0,1,0.28203142,,0.00428952369838953,0.007045555394142866,1.0,"[[401, "","", 0.0042417459189891815], [343, "","", 0.003728041425347328], [294, "","", 0.0034932997077703476]]"
73,0,1,0.24887805,,0.009904718026518822,0.0257747620344162,1.0,"[[401, "","", 0.00403149239718914], [343, "","", 0.0036817993968725204], [294, "","", 0.0033348705619573593]]"
74,0,1,0.2850451,,0.016010703518986702,0.030902575701475143,1.0,"[[401, "","", 0.004823382943868637], [294, "","", 0.003986191004514694], [343, "","", 0.003824075683951378]]"
